Origem;Nome;Código IF / CETIP;ISIN;Status;Taxa / Remuneração;Emissão;Série;Data Emissão;Data Vencimento;Volume (R$);Devedor / Cedente;Lastro;Agente Fiduciário;Tipo / Oferta
"Bari Securitizadora";"CRI 83ª Emissão 2ª Série";"26E2249728";"BRASTECRI588";"Ativo";"DI";"83";"2";"04/05/2026";"27/04/2029";"38.000.000,00";"";"Notas Comerciais";"OLIVEIRA TRUST";"B3"
"Bari Securitizadora";"CRI 83ª Emissão 1ª Série";"26E2243953";"BRASTECRI570";"Ativo";"DI";"83";"1";"04/05/2026";"26/04/2029";"26.500.000,00";"";"Notas Comerciais";"OLIVEIRA TRUST";"B3"
"Bari Securitizadora";"CRI 82ª Emissão 2ª Série";"26E2846962";"BRASTECRI596";"Ativo";"IPCA + 8,47%";"82";"2";"04/08/2026";"26/04/2041";"39.307.204,27";"";"Contrato de Locação";"VÓRTX";"B3"
"Bari Securitizadora";"CRI 82ª Emissão 1ª Série";"26E2843645";"BRASTECRI547";"Ativo";"IPCA + 8,47%";"82";"1";"07/05/2026";"25/04/2041";"28.816.339,44";"";"Contrato de Locação";"VÓRTX";"B3"
"Bari Securitizadora";"CRI 80ª Emissão 1ª Série";"26D7204859";"BRASTECRI539";"Ativo";"IPCA + 9,1285%";"80";"1";"22/04/2026";"07/11/2036";"112.783.356,11";"";"Contratos de Locação";"OLIVEIRA TRUST";"B3"
