Origem;Nome;Código IF / CETIP;ISIN;Status;Taxa / Remuneração;Emissão;Série;Data Emissão;Data Vencimento;Volume (R$);Devedor / Cedente;Lastro;Agente Fiduciário;Tipo / Oferta
"HabitaSec";"Manhattan NY";"21L0967500";"BRHBSCCRI7V3";"Ativo";"IPCA + 13% a.a.";"379";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967496";"BRHBSCCRI7U5";"Ativo";"IPCA + 13% a.a.";"377";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967495";"BRHBSCCRI7T7";"Ativo";"IPCA + 13% a.a.";"375";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967494";"BRHBSCCRI7S9";"Ativo";"IPCA + 13% a.a.";"373";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967490";"BRHBSCCRI7R1";"Ativo";"IPCA + 10% a.a.";"380";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967455";"BRHBSCCRI7Q3";"Ativo";"IPCA + 10% a.a.";"378";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967448";"BRHBSCCRI7P5";"Ativo";"IPCA + 10% a.a.";"376";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967444";"BRHBSCCRI460";"Ativo";"IPCA + 10% a.a.";"374";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"21L0967403";"BRHBSCCRI452";"Ativo";"IPCA + 10% a.a.";"372";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Co Haut";"22A0759371";"BRHBSCCRI8B3";"Ativo";"IPCA + 14.03% a.a.";"265";"";"";"";"";"Co Haut";"";"";"CRI"
"HabitaSec";"Co Haut";"22A0759361";"BRHBSCCRI8A5";"Ativo";"IPCA + 14.03% a.a.";"264";"";"";"";"";"Co Haut";"";"";"CRI"
"HabitaSec";"Co Haut";"22A0759327";"BRHBSCCRI890";"Ativo";"IPCA + 14.03% a.a.";"263";"";"";"";"";"Co Haut";"";"";"CRI"
"HabitaSec";"Aura Campo Belo";"22A0791137";"BRHBSCCRI809";"Ativo";"IPCA + 8.5% a.a.";"285";"";"";"";"";"Aura Campo Belo";"";"";"CRI"
"HabitaSec";"Estrutura II";"22B0337860";"BRHBSCCRI882";"Ativo";"CDI + 9% a.a.";"290";"";"";"";"";"Estrutura II";"";"";"CRI"
"HabitaSec";"Alinea";"22B0582556";"BRHBSCCRI8H0";"Ativo";"IGP-M + 7.85% a.a.";"299";"";"";"";"";"Alinea";"";"";"CRI"
"HabitaSec";"Alinea";"22B0581101";"BRHBSCCRI8G2";"Ativo";"IGP-M + 7.85% a.a.";"298";"";"";"";"";"Alinea";"";"";"CRI"
"HabitaSec";"BTS Fortaleza";"21B0767864";"BRHBSCCRI8J6";"Ativo";"IPCA + 18% a.a.";"330";"";"";"";"";"BTS Fortaleza";"";"";"CRI"
"HabitaSec";"Carneiro";"22B0680153";"BRHBSCCRI8I8";"Ativo";"IPCA + 9% a.a.";"291";"";"";"";"";"Carneiro";"";"";"CRI"
"HabitaSec";"Superfrio III";"22C0911889";"BRHBSCCRI8K4";"Ativo";"CDI + 4.65% a.a.";"331";"";"";"";"";"Superfrio III";"";"";"CRI"
"HabitaSec";"Riacho Doce";"22D0845162";"BRHBSCCRI8N8";"Ativo";"IPCA + 13% a.a.";"304";"";"";"";"";"Riacho Doce";"";"";"CRI"
"HabitaSec";"Riacho Doce";"22D0845146";"BRHBSCCRI8M0";"Ativo";"IPCA + 13% a.a.";"303";"";"";"";"";"Riacho Doce";"";"";"CRI"
"HabitaSec";"Riacho Doce";"22D0844981";"BRHBSCCRI8L2";"Ativo";"IPCA + 13% a.a.";"302";"";"";"";"";"Riacho Doce";"";"";"CRI"
"HabitaSec";"Campos do Jordão";"22D1286984";"BRHBSCCRI8W9";"Ativo";"CDI + 6.5% a.a.";"297";"";"";"";"";"Campos do Jordão";"";"";"CRI"
"HabitaSec";"Campos do Jordão";"22D1286983";"BRHBSCCRI8V1";"Ativo";"CDI + 5% a.a.";"296";"";"";"";"";"Campos do Jordão";"";"";"CRI"
"HabitaSec";"Campos do Jordão";"22D1286982";"BRHBSCCRI8U3";"Ativo";"CDI + 5% a.a.";"295";"";"";"";"";"Campos do Jordão";"";"";"CRI"
"HabitaSec";"Campos do Jordão";"22D1286981";"BRHBSCCRI8T5";"Ativo";"CDI + 5% a.a.";"294";"";"";"";"";"Campos do Jordão";"";"";"CRI"
"HabitaSec";"Campos do Jordão";"22D1286980";"BRHBSCCRI8S7";"Ativo";"CDI + 5% a.a.";"293";"";"";"";"";"Campos do Jordão";"";"";"CRI"
"HabitaSec";"Embraed VI Haitong";"22D1283353";"BRHBSCCRI8R9";"Ativo";"CDI + 3.85% a.a.";"283";"";"";"";"";"Embraed VI Haitong";"";"";"CRI"
"HabitaSec";"Montreal Vila Olimpia";"22E0854678";"BRHBSCCRI8Y5";"Ativo";"IPCA + 9% a.a.";"301";"";"";"";"";"Montreal Vila Olimpia";"";"";"CRI"
"HabitaSec";"Helbor VIII";"22E1211649";"BRHBSCCRI8X7";"Ativo";"CDI + 3% a.a.";"311";"";"";"";"";"Helbor VIII";"";"";"CRI"
"HabitaSec";"VIC IV";"22F1162246";"BRHBSCCRI908";"Ativo";"IPCA + 12% a.a.";"287";"";"";"";"";"VIC IV";"";"";"CRI"
"HabitaSec";"VIC IV";"22F1135958";"BRHBSCCRI8Z2";"Ativo";"IPCA + 9.5% a.a.";"286";"";"";"";"";"VIC IV";"";"";"CRI"
"HabitaSec";"Carandá II";"22H1737558";"BRHBSCCRI9E5";"Ativo";"CDI + 4% a.a.";"317";"";"";"";"";"Carandá II";"";"";"CRI"
"HabitaSec";"Carandá";"22H1737532";"BRHBSCCRI9D7";"Ativo";"IPCA + 9.2% a.a.";"300";"";"";"";"";"Carandá";"";"";"CRI"
"HabitaSec";"0246S &#8211; Aura Vila Mariana";"21H0953114";"BRHBSCCRI767";"Ativo";"IPCA + 8.5% a.a.";"237";"";"";"";"";"0246S &#8211; Aura Vila Mariana";"";"";"CRI"
"HabitaSec";"Aura Vila Mariana";"21H0953104";"BRHBSCCRI759";"Ativo";"IPCA + 8.5% a.a.";"236";"";"";"";"";"Aura Vila Mariana";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1667511";"BRHBSCCRI9B1";"Ativo";"CDI + 12.5% a.a.";"325";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1667510";"BRHBSCCRI9A3";"Ativo";"CDI + 12.5% a.a.";"324";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1667509";"BRHBSCCRI999";"Ativo";"CDI + 12.5% a.a.";"322";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1667508";"BRHBSCCRI981";"Ativo";"CDI + 12.5% a.a.";"321";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1667507";"BRHBSCCRI973";"Ativo";"CDI + 12.5% a.a.";"316";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1667479";"BRHBSCCRI965";"Ativo";"CDI + 12.5% a.a.";"315";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1663473";"BRHBSCCRI957";"Ativo";"CDI + 12.5% a.a.";"314";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1663827";"BRHBSCCRI940";"Ativo";"CDI + 12.5% a.a.";"313";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"QSJRN";"22H1519129";"BRHBSCCRI932";"Ativo";"CDI + 12.5% a.a.";"312";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"BTS Varginha II";"22I0089943";"BRHBSCCRI9I6";"Ativo";"IPCA + 7.65% a.a.";"306";"";"";"";"";"BTS Varginha II";"";"";"CRI"
"HabitaSec";"BTS Varginha II";"22I0089914";"BRHBSCCRI9H8";"Ativo";"IPCA + 7.65% a.a.";"305";"";"";"";"";"BTS Varginha II";"";"";"CRI"
"HabitaSec";"BTS Varginha";"22I0089805";"BRHBSCCRI9G0";"Ativo";"IPCA + 7.65% a.a.";"309";"";"";"";"";"BTS Varginha";"";"";"CRI"
"HabitaSec";"BTS Varginha";"22I0089753";"BRHBSCCRI9F2";"Ativo";"IPCA + 7.65% a.a.";"308";"";"";"";"";"BTS Varginha";"";"";"CRI"
"HabitaSec";"Bread III (V)";"22I1560033";"BRHBSCCRI9K2";"Ativo";"IPCA + 9.25% a.a.";"310";"";"";"";"";"Bread III (V)";"";"";"CRI"
"HabitaSec";"Fragnani II";"22J0268409";"BRHBSCCRI9M8";"Ativo";"CDI + 3.5% a.a.";"212";"";"";"";"";"Fragnani II";"";"";"CRI"
"HabitaSec";"Fragnani II";"22J0268287";"BRHBSCCRI9L0";"Ativo";"IPCA + 8.5% a.a.";"211";"";"";"";"";"Fragnani II";"";"";"CRI"
"HabitaSec";"Bit Barueri";"22J2609555";"BRHBSCCRI9S5";"Ativo";"CDI + 5.5% a.a.";"563";"";"";"";"";"Bit Barueri";"";"";"CRI"
"HabitaSec";"Bit Barueri";"22J2609554";"BRHBSCCRI9R7";"Ativo";"CDI + 5.5% a.a.";"562";"";"";"";"";"Bit Barueri";"";"";"CRI"
"HabitaSec";"Bit Barueri";"22J1411297";"BRHBSCCRI9Q9";"Ativo";"CDI + 5.5% a.a.";"323";"";"";"";"";"Bit Barueri";"";"";"CRI"
"HabitaSec";"Bit Barueri";"22J1411295";"BRHBSCCRI9P1";"Ativo";"CDI + 5.5% a.a.";"307";"";"";"";"";"Bit Barueri";"";"";"CRI"
"HabitaSec";"CRA Griffood";"CRA02200CNL";"BRHBSCCRA020";"Ativo";"CDI + 5.25% a.a.";"214";"";"";"";"";"CRA Griffood";"";"";"CRI"
"HabitaSec";"HausBau";"22K1685394";"BRHBSCCRI9T3";"Ativo";"IPCA + 10.25% a.a.";"260";"";"";"";"";"HausBau";"";"";"CRI"
"HabitaSec";"Helbor IX";"22L1013767";"BRHBSCCRI9U1";"Ativo";"CDI + 3% a.a.";"292";"";"";"";"";"Helbor IX";"";"";"CRI"
"HabitaSec";"Luan";"22L1215090";"BRHBSCCRI9V9";"Ativo";"IPCA + 10% a.a.";"284";"";"";"";"";"Luan";"";"";"CRI"
"HabitaSec";"Lar";"22L1212138";"BRHBSCCRI9X5";"Ativo";"CDI + 2.45% a.a.";"240";"";"";"";"";"Lar";"";"";"CRI"
"HabitaSec";"Lar";"22L1258273";"BRHBSCCRI9W7";"Ativo";"IPCA + 8.72% a.a.";"239";"";"";"";"";"Lar";"";"";"CRI"
"HabitaSec";"Poehma";"23C1626751";"BRHBSCCRIA27";"Ativo";"IPCA + 17% a.a.";"246";"";"";"";"";"Poehma";"";"";"CRI"
"HabitaSec";"Poehma";"23C1626118";"BRHBSCCRIA19";"Ativo";"IPCA + 17% a.a.";"245";"";"";"";"";"Poehma";"";"";"CRI"
"HabitaSec";"Poehma";"23C1625918";"BRHBSCCRIA01";"Ativo";"IPCA + 17% a.a.";"227";"";"";"";"";"Poehma";"";"";"CRI"
"HabitaSec";"MSB";"23D1245828";"BRHBSCCRIA35";"Ativo";"IPCA + 12% a.a.";"439";"";"";"";"";"MSB";"";"";"CRI"
"HabitaSec";"Moov";"23E1206892";"BRHBSCCRIA68";"Ativo";"IPCA + 12.68% a.a.";"244";"";"";"";"";"Moov";"";"";"CRI"
"HabitaSec";"Moov";"23E1202404";"BRHBSCCRIA50";"Ativo";"IPCA + 12.68% a.a.";"224";"";"";"";"";"Moov";"";"";"CRI"
"HabitaSec";"Rodaros";"23F1032483";"BRHBSCCR0003";"Ativo";"CDI + 6% a.a.";"247";"";"";"";"";"Rodaros";"";"";"CRI"
"HabitaSec";"Realiza Anápolis";"23H1744677";"BRHBSCCRIAC1";"Ativo";"CDI + 5.5% a.a.";"332";"";"";"";"";"Realiza Anápolis";"";"";"CRI"
"HabitaSec";"Bonelli";"23H1753231";"BRHBSCCRIAB3";"Ativo";"IPCA + 10.68% a.a.";"333";"";"";"";"";"Bonelli";"";"";"CRI"
"HabitaSec";"BTS Varginha";"23I1257019";"BRHBSCCRIAD9";"Ativo";"IPCA + 8.25% a.a.";"331";"";"";"";"";"BTS Varginha";"";"";"CRI"
"HabitaSec";"MSB Triu";"23I2066060";"BRHBSCCRIAE7";"Ativo";"IPCA + 10% a.a.";"334";"";"";"";"";"MSB Triu";"";"";"CRI"
"HabitaSec";"Pernambuco III";"23J1753853";"BRHBSCCRIAF4";"Ativo";"CDI + 5.75% a.a.";"382";"";"";"";"";"Pernambuco III";"";"";"CRI"
"HabitaSec";"HBR Estacionamentos";"23J1928151";"BRHBSCCRIAG2";"Ativo";"CDI + 3.5% a.a.";"422";"";"";"";"";"HBR Estacionamentos";"";"";"CRI"
"HabitaSec";"Mirante";"23J2008462";"BRHBSCCRIAH0";"Ativo";"IPCA + 12% a.a.";"428";"";"";"";"";"Mirante";"";"";"CRI"
"HabitaSec";"Ditolvo VI";"23K1512153";"BRHBSCCRIAJ6";"Ativo";"IPCA + 10% a.a.";"429";"";"";"";"";"Ditolvo VI";"";"";"CRI"
"HabitaSec";"Helbor XII (AF Cotas)";"23K1511855";"BRHBSCCRIAI8";"Ativo";"CDI + 3% a.a.";"438";"";"";"";"";"Helbor XII (AF Cotas)";"";"";"CRI"
"HabitaSec";"Econ II";"23K2260145";"BRHBSCCRIAL2";"Ativo";"CDI + 2% a.a.";"436";"";"";"";"";"Econ II";"";"";"CRI"
"HabitaSec";"Helbor XIII (Presidente Prudente)";"23K2511595";"BRHBSCCRIAK4";"Ativo";"Não definido + 12.8439% a.a.";"437";"";"";"";"";"Helbor XIII (Presidente Prudente)";"";"";"CRI"
"HabitaSec";"Longitude II";"23L1958573";"BRHBSCCRIAN8";"Ativo";"CDI + 5.5% a.a.";"474";"";"";"";"";"Longitude II";"";"";"CRI"
"HabitaSec";"Ipiranga";"23L2309173";"BRHBSCCRIAP3";"Ativo";"IPCA + 12% a.a.";"476";"";"";"";"";"Ipiranga";"";"";"CRI"
"HabitaSec";"Longitude II";"23L1958694";"BRHBSCCRIAO6";"Ativo";"CDI + 5.5% a.a.";"475";"";"";"";"";"Longitude II";"";"";"CRI"
"HabitaSec";"FIDC Empirica";"23L2834856";"BRHBSCCRIAR9";"Ativo";"IGP-M + 7% a.a.";"473";"";"";"";"";"FIDC Empirica";"";"";"CRI"
"HabitaSec";"FIDC Empirica";"23L2833549";"BRHBSCCRIAQ1";"Ativo";"IGP-M + 9.3% a.a.";"472";"";"";"";"";"FIDC Empirica";"";"";"CRI"
"HabitaSec";"Basesul";"24B1417493";"BRHBSCCRIAV1";"Ativo";"IPCA + 12% a.a.";"478";"";"";"";"";"Basesul";"";"";"CRI"
"HabitaSec";"Basesul";"24B1404788";"BRHBSCCRIAU3";"Ativo";"IPCA + 12% a.a.";"477";"";"";"";"";"Basesul";"";"";"CRI"
"HabitaSec";"Itaobim";"24B1812864";"BRHBSCCRIAZ2";"Ativo";"IPCA + 12% a.a.";"497";"";"";"";"";"Itaobim";"";"";"CRI"
"HabitaSec";"Super Extrema";"24B1669810";"BRHBSCCRIAY5";"Ativo";"IPCA + 7.5% a.a.";"482";"";"";"";"";"Super Extrema";"";"";"CRI"
"HabitaSec";"Super Extrema";"24B1669805";"BRHBSCCRIAX7";"Ativo";"IPCA + 7.5% a.a.";"481";"";"";"";"";"Super Extrema";"";"";"CRI"
"HabitaSec";"Boa";"24B1813276";"BRHBSCCRIB00";"Ativo";"IPCA + 9.5% a.a.";"506";"";"";"";"";"Boa";"";"";"CRI"
"HabitaSec";"Helbor BRAP";"24C1583302";"BRHBSCCRIB26";"Ativo";"CDI + 1.2004% a.a.";"494";"";"";"";"";"Helbor BRAP";"";"";"CRI"
"HabitaSec";"Helbor BRAP";"24C1582978";"BRHBSCCRIB18";"Ativo";"CDI + 2% a.a.";"491";"";"";"";"";"Helbor BRAP";"";"";"CRI"
"HabitaSec";"Manhattan NY";"24C1630594";"BRHBSCCRIB67";"Ativo";"IPCA + 13% a.a.";"493";"";"";"";"";"Manhattan NY";"";"";"CRI"
"HabitaSec";"Manhattan NY";"24C1630587";"BRHBSCCRIB59";"Ativo";"IPCA + 10% a.a.";"492";"";"";"";"";"Manhattan NY";"";"";"CRI"
